Reviewer Name,Review Date,Review Content
,"Jul 8, 2025","I am writing to express my frustration…I am writing to express my frustration regarding the recent banning of my Shopee account, which I have been unable to resolve despite numerous attempts to contact your customer service team. My account has been banned, and I have not received any clear explanation for this action. In addition, I have been waiting for almost five days for a response to my concern, even though I was initially told I would receive feedback within 24-28 hours.I have tried reaching out to your support team several times through both email and the live chat feature, but I am either left waiting or receive no meaningful response. As a result, I am left in the dark about the status of my account and orders. The inability to access my account is causing significant issues, especially because I cannot track my orders or view any important information related to past purchases.Furthermore, all of my account details were verified, and I have ensured that I followed Shopee's guidelines. This makes it even more confusing why my account was banned without any notification or detailed explanation. I believe I should be given proper communication and a clearer understanding of what is happening with my account.I am kindly requesting a clear explanation of why my account was banned, immediate access to my account so that I can track my orders, and an urgent response from your customer support team within 24 hours. I also request better communication from Shopee in terms of providing updates regarding my account status.I have attached relevant evidence, including screenshots of emails and chat logs, to support my case. I hope that this matter will be taken seriously and resolved promptly.Thank you for your attention to this issue. I look forward to your immediate response."
,"Jun 27, 2025","As you can see most of the Shopee complaint was here not much positive review in Trustpilot? this show that Shopee actually not great on customer service side and solving customer problem read till the end you see what I mean. I for the example in Shopee mall of course you think the Mall item is real item right? This is what Shopee Mall claim, no this time I get fake low quality item and rise an request and refund, reason was fake or not real item because the picture totally different from the Mall shop item displaying and it is easy can tell from what I receive and the selling page is different in quality build and none brand item was receive. The Shopee customer service just simply change the reason to customer change or mind and asking return and refund! Hey Customer receive fake item and the problem was customer side? customer change or mind? directly side at Mall seller help them change to customer change or mind and return? this is why Shopee so many fake item around because of this type of customer service! and there is no way you can rate this Customer service after he handle this problem and they send you the 24 hours time frame for rating the outcome but believe me I receive the email 3 hours from now but you cannot making rating on this CS service the link become error after you click! so this mean you has no way to complaint this CS too! but I just contact another Shopee CS to raise this issue and hope not all Shopee CS is same training or the problem is not CS but Shopee?"
,"Jun 26, 2025","I purchased the product on the 10th, received it on the 12th, tried it on the 13th but couldn't use it due to network problems, clicked the return button on the 14th, mailed it back to the merchant on the morning of the 15th, the merchant received it on the 18th, but on the 20th they said the product had been used and no refund was available. It clearly stated there was 15 days for free return and refund, then today, the 26th, I clicked to confirm the return with the Shopee customer service this afternoon, but I couldn't file a new appeal even though it was clearly not my order. So be cautious when buying things on Shopee."
,"Jun 23, 2025","I applied for seller account and came to know how ignorant and arrogant their backend team is. They didn't know about visa types in Malaysia like Mm2h and keep telling me that it's temporary visa. I had sent them immigration link to convince but rather than reading and acknowledging my shared information. They were stuck in loop that temporary visa. God saved me from them. I worry that If my account was approved and I had problem with any transaction ,they won't help because they can't read and comprehend anything. I am better off without them. Currently I had not given any control to them over me ,they were behaving like this. Had I empowered them, they would be extremely difficult to deal with. Not knowing is not a problem, not willing to learn is an actual problem."
,"Jun 19, 2025","The worst online shopping platform. Poor product quality, unreliable seller, unreasonable price, and difficult returns - after two such experiences, he finally lost trust in it. Everyone also tries to avoid using it."
,"Jun 10, 2025","I used to like Shopee as it finally made online shopping popular like in other countries many years ago. Unfortunately it's getting more and more unreliable! I'm only buer there. Very often delivery date is not kept as promised. We buyers cannot do anything. Waiting 3-4 days for the order to come and when you finally cannot wait any more they can only give you refund. Or 5rm voucher that you cannot use. They give you the option ""next day delivery"" but there is high possibility they cannot deliver next day, so late evening the AI can offer you refund. But I need a product not refund!!! The law is not customer friendly at all. Probably many sellers also suffer."
,"Jun 1, 2025","Dear All,I just got scammed by the seller / delivery guy in the following way:I ordered tyre valve caps and there was a delay in delivery with the delivery guy stating I asked for a different delivery date on the updates which I did not.Then the delivery guy calls me and says that he misplaced my item and now has found it but could I click as received so that he won't get into trouble for the late delivery and he will deliver the item tomorrow.I didn't want him to get into trouble so I obliged. The next day when the item was delivered, what I got was 2 light bulbs and not 4 tyre valve caps.Since I had already clicked to release payment it would be futile to complain to Shopee and the valve caps were only RM8.Moral of the story is never click ""received"" until you open and check the item no matter what sob story the delivery guy says!"
,"May 29, 2025","Shopee, you are the biggest legalized scam in the e-commerce world.You built your platform on a win-lose model, where Shopee always wins—and sellers always lose.You lure buyers with endless ""free returns,"" discounts, coins, and guarantees—but who’s actually paying the price? Sellers.We bleed from sky-high commissions, mandatory campaigns, and platform vouchers we never agreed to. And yet, you keep pushing more and more, while giving buyers false confidence.And worst of all? You let buyers abuse the system—✅ They use the product.✅ They damage it.✅ Then they return it.And what does Shopee do? You side with the buyer, no questions asked.Sellers end up paying for warranty claims, return shipping, and even refunding used or broken items. You take your cut no matter what happens. You contribute NOTHING to the resolution.Then you dare to say:“If you don’t like it, leave.”Easy to say—because you’ve monopolized the market with your huge customer base. Most sellers have no choice but to stay and get squeezed dry every month.This isn’t a fair marketplace. This is exploitation with a nice interface.I hope one day a bigger, better platform rises to replace you—one that treats sellers with the respect and fairness they deserve.Just like how you rule over sellers now, I hope that platform will one day rule over you."
,"May 17, 2025","Do not order from them if you don’t want to lose money. This is the worst company and worst customer service ever.I paid for an order last year in cash at Indomaret, my order was never sent and I’ve been fighting every day to get a refund.I have to open new conversations with agents every single day and explain the situation 100 times.They ask me to add information to my account that I can’t provide because I’m not Indonesian (local ID card).And when I send the Indomaret receipt as proof of payment, they say it’s not enough.THEY REALLY ARE COMPLETE IDIOTS."
,"May 11, 2025",Oops! I need to find words that contain X (with quotes) but it doesn't work and the filter interface doesn't have this option.
,"May 6, 2025","I will give them 0 star if I have this option. The worst customer service and courier service I have ever used. Just keep repeat the same message without understanding and solving the issue, wasting time to deal with the customer service on delay of courier"
,"Apr 23, 2025",Shopee is like the worst things about SE Asia but on a app. Scan QR code and doesn't let you in. The app and website has as much use as two left shoes.
,"Jun 27, 2025",As you can see most of the Shopee complaint was here not much positive review in Trustpilot? this show that Shopee actually not great on customer service side and solving customer problem read till th... See more
,"Jun 10, 2025",I used to like Shopee as it finally made online shopping popular like in other countries many years ago. Unfortunately it's getting more and more unreliable! I'm only buer there. Very often delivery d... See more
,"Feb 11, 2026","I came to write a review about a poor service of Shopee, but after seeing all the low notes I guess it won't change a thing, cause I guess no one from Shopee ever reads and cares those reviews here a... See more"
